,FLID,TID,ZTBFQ,VNIID,TBFQ
0,FLG2013_FLG_ID_002008_53241,59568966-c9dc-4e86-a167-bab2a6c4a497,1.0,59568966-c9dc-4e86-a167-bab2a6c4a497,1.0
0,FLG2013_FLG_ID_002542_54277,d65915b1-97ab-4780-ab71-423685ef9279,1.0,d65915b1-97ab-4780-ab71-423685ef9279,1.0
0,FLG2013_FLG_ID_004483_61879,691cd4e3-9f77-454f-8b03-2127b4aeec04,1.0,691cd4e3-9f77-454f-8b03-2127b4aeec04,1.0
0,FLG2013_FLG_ID_000838_47772,69ee65e1-90c4-4f0d-aa08-7459209f9cc0,1.1821576161821215,69ee65e1-90c4-4f0d-aa08-7459209f9cc0,1.1830339393501283
0,FLG2013_FLG_ID_005793_95459,28fb19e8-3f95-42d2-9113-c15e35ea4595,1.8340721975934136,28fb19e8-3f95-42d2-9113-c15e35ea4595,1.7751618599175987
1,FLG2013_FLG_ID_003369_55864,4c3c0106-42b3-4301-9b0f-4eb1bcb9fd03,1.0006430868167202,4c3c0106-42b3-4301-9b0f-4eb1bcb9fd03,1.0005970149253731
0,FLG2013_FLG_ID_000847_47794,44074343-3299-4755-9376-6207fc059091,1.1363090952723782,44074343-3299-4755-9376-6207fc059091,1.133022170361727
1,FLG2013_FLG_ID_002392_54003,5ae4025b-bcb9-4a28-a137-d45038d44271,1.0243243243243243,5ae4025b-bcb9-4a28-a137-d45038d44271,1.0183673469387755
0,FLG2013_FLG_ID_003491_56101,ee7e7cdc-483f-4fa0-9d10-2e37db4b4246,1.1306740027510316,ee7e7cdc-483f-4fa0-9d10-2e37db4b4246,1.1207115628970774
0,FLG2013_FLG_ID_000247_42057,b39f3b7d-5dcb-459d-b3ee-b8beef55bfc1,1.0,b39f3b7d-5dcb-459d-b3ee-b8beef55bfc1,1.0
1,FLG2013_FLG_ID_000032_69162,769e6e87-878d-48c0-bf30-909b10f950c8,0.9597619355673438,769e6e87-878d-48c0-bf30-909b10f950c8,1.009643718189124
0,FLG2013_FLG_ID_005860_99653,d0dc6ade-4db9-4138-b8b9-2e9cabe583bb,1.157532819337362,d0dc6ade-4db9-4138-b8b9-2e9cabe583bb,1.156549300627024
0,FLG2013_FLG_ID_000288_42371,2eb5b3c5-60c1-45c0-bb25-c5cde591b330,1.0,2eb5b3c5-60c1-45c0-bb25-c5cde591b330,1.0
1,FLG2013_FLG_ID_003747_56559,7d951384-c4ac-42b1-afd6-85b77fdef58c,0.9867740080506038,7d951384-c4ac-42b1-afd6-85b77fdef58c,0.9876277568585261
